ITEM;MONTO;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
(+)ARRIENDO;700000;;;;
(+)LUZ;151500;;;MES;MONTO
(+)AGUA;31559;;;MES ENERO;14057968
(+)GAS;0;;;MES FEBRERO;3310580
(+)INTERNET;80000;;;MES MARZO;3072536
(+)PARABOLICA;43000;;;MES ABRIL;3455498
(+)NETFLIX;26000;;;MES MAYO;3385952
(+)ASEO MORRONGA;60000;;;MES JUNIO;3167049
(+)MERCADO;1323709;;;MES JULIO;3337777
(+)ALMUERZOS x 24 dias;642000;;;MES AGOSTO;4465156
(+)CUOTA CARRO;0;;;MES SEPTIEMBRE;5206932
(+)GASTOS POR OCIO;11000200;;;MES OCTUBRE;6291127
(=) TOTAL MES ENERO;14057968;;;MES NOVIEMBRE;5725800
;;;;MES DICIEMBRE;6068471
ITEM;MONTO;;;;
(+)ARRIENDO;700000;;;;
(+)LUZ;177590;;;;
(+)AGUA;53329;;;;
(+)GAS;19960;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;43000;;;;
(+)NETFLIX;26000;;;;
(+)ASEO MORRONGA;260000;;;;
(+)MERCADO;1174701;;;;
(+)ALMUERZOS x 24 dias;642000;;;;
(+)CUOTA CARRO;0;;;;
(+)GASTOS POR OCIO;134000;;;;
(=) TOTAL MES FEBRERO;3310580;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;700000;;;;
(+)LUZ;195660;;;;
(+)AGUA;57916;;;;
(+)GAS;50680;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;43000;;;;
(+)NETFLIX;26000;;;;
(+)ASEO MORRONGA;260000;;;;
(+)MERCADO;1439280;;;;
(+)ALMUERZOS x 24 dias;0;;;;
(+)CUOTA CARRO;0;;;;
(+)GASTOS POR OCIO;220000;;;;
(=) TOTAL MES MARZO;3072536;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;700000;;;;
(+)LUZ;190460;;;;
(+)AGUA;63539;;;;
(+)GAS;61340;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)ASEO DOÑA MARINA;260000;;;;
(+)MERCADO;1072159;;;;
(+)ALMUERZOS x 24 dias;0;;;;
(+)GASTOS POR OCIO;957000;;;;
(=) TOTAL MES ABRIL;3455498;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;700000;;;;
(+)LUZ;195090;;;;
(+)AGUA;66351;;;;
(+)GAS;64890;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)ASEO DOÑA MARINA;260000;;;;
(+)MERCADO;1448121;;;;
(+)ALMUERZOS x 24 dias;0;;;;
(+)GASTOS POR OCIO;500500;;;;
(=) TOTAL MES MAYO;3385952;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;700000;;;;
(+)LUZ;57916;;;;
(+)AGUA;187340;;;;
(+)GAS;53990;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)ASEO DOÑA MARINA;260000;;;;
(+)MERCADO;1492803;;;;
(+)ALMUERZOS x APARTE;60000;;;;
(+)GASTOS POR OCIO;204000;;;;
(=) TOTAL MES  JUNIO;3167049;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;750000;;;;
(+)LUZ;179030;;;;
(+)AGUA;60728;;;;
(+)GAS;51920;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)ASEO DOÑA MARINA;260000;;;;
(+)MERCADO;1678099;;;;
(+)ALMUERZOS x 03 dias;60000;;;;
(+)GASTOS POR OCIO;147000;;;;
(=) TOTAL MES  JULIO;3337777;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;750000;;;;
(+)LUZ;212020;;;;
(+)AGUA;63539;;;;
(+)GAS;51930;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)ASEO DOÑA MARINA;260000;;;;
(+)MERCADO;2203667;;;;
(+)ALMUERZOS x 10 dias;208000;;;;
(+)GASTOS POR OCIO;565000;;;;
(=) TOTAL MES  AGOSTO;4465156;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;750000;;;;
(+)LUZ;239060;;;;
(+)AGUA;71260;;;;
(+)GAS;50390;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)PAGO A YUNEIDIS;1624000;;;;
(+)MERCADO;1973222;;;;
(+)ALMUERZOS x 24 dias;0;;;;
(+) GASTOS VARIOS;348000;;;;
(=) TOTAL MES  SEPTIEMBRE;5206932;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;750000;;;;
(+)LUZ;231420;;;;
(+)AGUA;79950;;;;
(+)GAS;80570;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)PAGO A YUNEIDIS;1624000;;;;
(+)MERCADO;3202187;;;;
(+)ALMUERZOS x 24 dias;0;;;;
(+) GASTOS VARIOS;172000;;;;
(=) TOTAL MES OCTUBRE;6291127;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;750000;;;;
(+)LUZ;257710;;;;
(+)AGUA;77054;;;;
(+)GAS;54620;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)PAGO A YUNEIDIS;1624000;;;;
(+)MERCADO;2489416;;;;
(+)ALMUERZOS x 24 dias;0;;;;
(+) GASTOS VARIOS;322000;;;;
(=) TOTAL MES NOVIEMBRE;5725800;;;;
;;;;;
;;;;;
ITEM;MONTO;;;;
(+)ARRIENDO;700000;;;;
(+)LUZ;245810;;;;
(+)AGUA;71260;;;;
(+)GAS;166080;;;;
(+)INTERNET;80000;;;;
(+)PARABOLICA;45000;;;;
(+)NETFLIX;26000;;;;
(+)PAGO A YUNEIDIS;1624000;;;;
(+)MERCADO;2271421;;;;
(+) GASTOS POR  (OCIO);838900;;;;
(=) TOTAL MES DICIEMBRE;6068471;;;;
